ID;Kitab;Sanad;Matan
888;Musnad Syafi'i 888;Malik bin Anas mengabarkan kepada kami dari Abdullah bin Abu Bakar, dori ayahnya, dari Amrah bahwa ia pernah mendengar dari Aisyah ketika disebutkan kepadanya bahwa Abdullah bin Umar pernah berkata,;"Sesungguhnya mayit itu benar-benar disiksa karena tangisan orang yang masih hidup."" Maka Aisyah  berkata, ""Ingatlah, sesungguhnya ia tidak berdusta, melainkan keliru atau lupa, Sesungguhnya Rasulullah  mendapati ada jenazah seorang wanita Yahudi yang sedang ditangisi oleh keluarganya, lalu beliau bersabda, 'Sesungguhnya mereka benar-benar menangisinya, dan sesungguhnya ia benar-benar disiksa di dalam kuburnya'. 136"
889;Musnad Syafi'i 889;"Abdul Majid bin Abdul Aziz mengabarkan kepada kami dan Ibnu Juraij, Ibnu Abu Mulaikah mengabarkan kepadaku: Salah seorang anak perempuan Utsman bin Affan meninggal dunia di Makkah, maka kami datang untuk melayatnya; ikut hadir pula Ibnu Abbas serta Ibnu Umar. Ibnu Abu Mulaikah melanjutkan perkataannya: Sesungguhnya aku duduk di antara keduanya. Pada awal mulanya aku duduk dengan salah seorang dari keduanya, kemudian datang yang lainnya, lalu duduk di sebelahku. Ibnu Umar berkata kepada Amr bin Utsman,";"Tidakkah engkau berhenti dari tangismu, karena Rasulullah  pernah bersabda, “Sesungguhnya mayit itu benar-benar disiksa sebab tangisan keluarganya yang ditujukan kepadanya' "" Maka Ibnu Abbas berkata, ""Umar pun pernah mengatakan sebagian dari itu."" Kemudian Ibnu Abbas melanjutkan kisahnya: Aku berangkat bersama Umar bin Khaththab menuju Makkah. Ketika kami sampai di Al Baida, tiba-tiba kami berjumpa dengan suatu kafilah yang sedang istirahat di bawah naungan sebuah pohon. Lalu Umar berkata, ""Pergilah, coba lihat siapakah rombongan kafilah itu!"" Maka aku berangkat, dan ternyata aku bertemu dengan Shuhaib. Umar berkata, ""Panggillah dia!"" Aku kembali ke Shuhaib dan kukatakan kepadanya, ""Berangkatlah dan bergabunglah dengan Amirul Mukminin!"" Ketika Umar tertimpa malapetaka —yang mengantarkan kepada wafatnya—, aku mendengar Shuhaib menangis seraya berkata, ""Aduhai saudaraku, aduhai temanku."" Maka Umar berkata, ""Hai Shuhaib, apakah engkau menangisi diriku, padahal Rasulullah  telah bersabda, “Sesungguhnya mayit itu benar-benar disiksa karena tangisan keluarganya yang ditujukan kepadanya'."" Ibnu Abbas melanjutkan kisahnya: Ketika Umar wafat, aku ceritakan hadis tersebut kepada Aisyah . Maka ia berkata, ""Semoga Allah merahmati Umar. Tidak, demi Allah, Rasulullah  tidak pernah mengatakan bahwa mayit benar-benar disiksa karena tangisan keluarganya yang ditujukan kepadanya, melainkan Rasulullah  telah bersabda, 'Sesungguhnya Allah menambah siksa terhadap orang kafir karena tangisan keluarganya yang ditujukan kepadanya'."" Aisyah berkata, ""Cukuplah bagi kalian ayat Al Qur'an yang menyatakan, 'Seorang yang berdosa tidak akan memikul dosa orang lain'."" (Qs. Al An'aam [6]: 164) Ketika itu Ibnu Abbas berkata, ""Allah-lah yang membuat (seseorang) tertawa dan menangis."" Ibnu Abu Mulaikah berkata, ""Demi Allah, Ibnu Umar tidak mengatakan apapu."" 137"
890;Musnad Syafi'i 890;"Sufyan mengabarkan kepada kami dari Az-Zuhri, dari Atha' bin Yazid Al Laitsi, dari Abu Ayyub Al Anshari, dari Nabi ; Bahwa Nabi  melarang menghadap ke arah kiblat sewaktu buang air besar atau kecil, namun menghadaplah kalian ke arah timur atau arah barat —ketika melakukannya—. Abu Ayyub melanjutkan kisahnya: Ketika kami tiba di negeri Syam, kami menjumpai tempat- tempat buang air telah dibangun menghadap ke arah kiblat, maka kami agak miring sedikit —jika buang hajat—, dan kami memohon ampun kepada Allah. 138";
891;Musnad Syafi'i 891;Malik mengabarkan kepada kami dari Yahya bin Sa'id, dari Muhammad bin Yahya bin Hibban, dari pamannya, Wasi' bin Hibban, dari Abdullah bin Umar , bahwa ia mengatakan: Sesungguhnya orang-orang berkata,;"Apakah kamu duduk untuk menunaikan hajatmu? Janganlah kamu menghadap ke arah kiblat dan jangan pula ke arah Baitul Maqdis."" Abdullah bin Umar  melanjutkan kisahnya: Aku pernah naik ke atas sebuah rumah milik kami, maka aku melihat Rasulullah  sedang duduk di atas 2 buah batu bata menunaikan hajatnya dengan menghadap ke arah Baitul Maqdis. 139"
892;Musnad Syafi'i 892;Sufyan bin Uyainah mengabarkan kepada kami dari Az- Zuhri, dari Abu Az-Zinad, dari Al A'raj, dari Abu Hurairah , bahwa Rasulullah  pernah bersabda,;"Jangan sekali-kali seseorang di antara kalian melakukannya dengan memakai satu kain, sedangkan pada kedua pundaknya tidak terdapat suatu pakaian pun (bertelanjang dada). ""140"
893;Musnad Syafi'i 893;Sufyan mengabarkan kepada kami dari Ishaq, dari Abdullah bin Syaddad, dari Maimunah , istri Nabi , ia mengatakan: Dahulu Rasulullah  pernah shalat memakai kain mirth, sebagiannya beliau pakai dan sebagian yang lain dipakai olehku, sedangkan aku dalam keadaan haid. 141;
894;Musnad Syafi'i 894;Sufyan mengabarkan kepada kami dari Ashim bin Abu An-Nujud, dari Wa'il, dari Abdullah , ia mengatakan: Kami pernah mengucapkan salam kepada Nabi  yang sedang melakukan shalat, hal ini terjadi sebelum kami datang ke Habsyah. Maka beliau menjawab salam kami dalam shalatnya. Tetapi ketika kami kembali dari tanah Habsyah dan aku datang kepadanya untuk mengucapkan salam, ternyata kujumpai beliau sedang melakukan shalat. Aku mengucapkan salam kepadanya, tetapi beliau tidak menjawab salamku, hingga aku mendadak merasa terkejut dan khawatir, lalu aku duduk. Setelah beliau selesai dari shalat, aku datang kepada beliau, maka beliau bersabda,;"Sesungguhnya Allah Jalla Tsana'uhu membuat hukum baru menurut apa yang dikehendaki-Nya, dan sesungguhnya di antara hukum baru yang ditetapkan oleh Allah ialah janganlah kalian berbicara dalam shalat.""142"
895;Musnad Syafi'i 895;Malik mengabarkan kepada kami dari Ayyub As- Sakhtiyani, dari Muhammad bin Sirin, dari Abu Hurairah , bahwa Rasulullah  melakukan salam setelah 2 rakaat, maka berkatalah Dzul Yadain,;"Wahai Rasulullah, apakah shalat diperpendek atau engkau lupa?"" Rasulullah  bertanya, ""Benarkah apa yang dikatakan oleh Dzul Yadain ini?"" Orang-orang menjawab, ""Ya."" Maka Rasulullah  bangkit, lalu shalat 2 rakaat lagi, kemudian salam, setelah itu bertakbir dan melakukan sujud biasa atau lebih lama. Sesudah itu beliau mengangkat —kepalanya dari sujud dan duduk—, kemudian bertakbir dan sujud lagi seperti sujud biasa atau lebih lama, setelah itu beliau mengangkat —kepalanya dari sujud—.143"
896;Musnad Syafi'i 896;Malik mengabarkan kepada kami dari Daud bin Al Hushain, dari Abu Sufyan, maula, Ibnu Abu Ahmad, ia mengatakan: Aku pernah mendengar Abu Hurairah  mengatakan hadis berikut: Rasulullah  mengimami kami dalam shalat Ashar, dan beliau salam pada 2 rakaat. Maka berdirilah Dzul Yadain, lalu berkata, ''Wahai Rasulullah! Apakah shalat diperpendek atau engkau lupa?;"Rasulullah   menghadapkan wajahnya ke arah orang-orang dan bertanya, ""Benarkah Dzul Yadain ini?"" Mereka menjawab, ""Ya."" Lalu Rasulullah  menyempurnakan rakaat yang tersisa dari shalatnya kemudian beliau sujud dalam keadaan duduk sesudah salam. 144"
897;Musnad Syafi'i 897;Abdul Wahab Ats-Tsaqafi mengabarkan kepada kami dari Khalid Al Hidzdza', dari Abu Qilabah, dari Abui Muhlab, dari Imran bin Hushain, ia mengatakan: Rasulullah  melakukan salam pada rakaat ketiga dari shalat Ashar, kemudian beliau bangkit dan masuk ke dalam rumahnya. Maka Al Khirbaq seorang lelaki jangkung yang memiliki dua tangan yang panjang, bangkit dan berseru,;"Wahai Rasulullah, apakah shalat telah diperpendek?"" Rasulullah  keluar dengan raut wajah marah seraya menarik selendangnya, lalu beliau bertanya dan diberitahu, maka beliau melakukan yang tertinggal. Setelah itu beliau salam, lalu melakukan sujud sebanyak 2 kali, kemudian salam lagi. 145"
898;Musnad Syafi'i 898;Sebagian ulama menceritakan kepada kami dari Ja'far bin Muhammad, dari ayahnya bahwa ia mengatakan: Ketika sampai kepada Nabi  berita terbunuhnya penduduk sumur Ma'unah, beliau tinggal selama 15 malam. Manakala beliau mengangkat kepalanya dari ruku terakhir pada shalat Subuh, beliau mengucapkan doa berikut,;"Semoga Allah memperkenankan bagi orang yang memuji-Nya, wahai Rabb kami, dan bagi-Mu segala puji. Ya Allah, lakukanlah."" kemudian beliau mengucapkan doa yang panjang, lalu bertakbir dan sujud. 146"
899;Musnad Syafi'i 899;Sufyan menceritakan kepada kami dari Az-Zuhri, dari Sa'id bin Al Musayyab, dari Abu Hurairah bahwa Nabi  apabila mengangkat kepalanya dari ruku yang kedua dalam shalat Subuh mengucapkan doa berikut,;"Ya Allah selamatkanlah Al Walid bin Walid, Salamah bin Hisyam, Ayyasy bin Abu Rabi'ah, dan kaum mustadh'afin (kaum muslimin yang lemah) di Makkah. Ya Allah, keraskanlah tekanan-Mu terhadap Mudhar, dan jadikanlah tekanan-Mu terhadap mereka berupa paceklik seperti pacekliknya Nabi Yusuf"" 147"
900;Musnad Syafi'i 900;Sufyan menceritakan kepada kami dari Amr bin Dinar, dari Salim bin Abdullah, barangkali ia mengatakan: dari ayahnya, dan barangkali ia mengatakannya: Umar pernah berkata, “Apabila kalian telah melempar jumrah, menyembelih kurban dan bercukur, berarti telah halal bagi kalian segala sesuatu yang sebelumnya diharamkan atas kalian, kecuali wanita dan wewangian.;"Salim mengatakan bahwa Aisyah  berkata, ""Aku pernah memakaikan wewangian kepada Rasulullah  untuk ihramnya sebelum berihram dan untuk tahallulnya sesudah melempar jumrah 'aqabah, dan sebelum ziarah Baitullah."" Salim berkata, ""Sunnah Rasulullah  lebih berhak untuk diikuti."" 148"
901;Musnad Syafi'i 901;Malik mengabarkan kepada kami dari Az-Zuhri, dari Ubaidullah, dari Ibnu Abbas, dari Ash-Sha'b bin Jatstsamah: Bahwa ia menghadiahkan kepada Nabi  seekor keledai liar ketika berada di Abwa' atau Waddan, maka Rasulullah  mengembalikan keledai liar itu kepadanya. Ketika Rasulullah melihat —perubahan— raut mukanya, maka beliau bersabda,;"Sesungguhnya kami tidak sekali-kali mengembalikannya kepadamu} melainkan karena kami sedang ihram.""149"
902;Musnad Syafi'i 902;"Muslim dan Sa'id bin Salim mengabarkan kepada kami dari Ibnu Juraij, Malik menceritakan kepadaku dari Abu An-Nadhr, maula Umar bin Ubaidillah At-Taimi, dari Nafi' maula Abu Qatadah, dari Abu Qatadah, dari Abu Qatadah Al Anshari: Bahwa ia pernah bersama Nabi  ketika berada di tengah jalan menuju Makkah, ia bersama teman-temannya yang berihram memisahkan diri, sedangkan ia sendiri belum ihram. Lalu ia melihat seekor keledai liar, lalu ia menaiki kudanya dan meminta kepada teman-temannya agar meminjamkan cemeti untuknya, tetapi mereka menolak; dan ia meminta kepada mereka agar meminjamkan tombak untuknya, mereka juga menolak. Akhirnya ia mencabut tombaknya sendiri dan membidikkannya ke arah keledai liar itu hingga membunuhnya. Sebagian dari sahabat Rasulullah  ada yang ikut makan bersamanya, sedangkan sebagian yang lain tidak. Ketika mereka bergabung kembali dengan Nabi , mereka menanyakan masalah tersebut kepada beliau, lalu beliau bersabda,";"Sesungguhnya keledai liar tersebut merupakan hidangan yang disuguhkan Allah Ta'ala untuk kalian.""150"
903;Musnad Syafi'i 903;Malik mengabarkan kepada kami dari Zaid bin Aslam, dari Atha' bin Yasar, dari Abu Qatadah mengenai keledai liar semisal dengan hadis Abu An-Nadhr, kecuali pada hadis Zaid Rasulullah bersabda, “Apakah kalian memiliki sedikit dari dagingnya.;151
904;Musnad Syafi'i 904;Ibrahim bin Muhammad mengabarkan kepada kami dari Amr bin Abu Amr, dari Al Muthalib bin Hanthab, dari Jabir bin Abdullah bahwa Nabi  pernah bersabda,;"Daging binatang buruan bagi kalian dalam ihram adalah halal selagi kalian memburunya atau bukan diburu untuk kalian."",152"
905;Musnad Syafi'i 905;Orang yang mendengar dari Sulaiman bin Bilal mengabarkan kepada kami bahwa ia menceritakan dari Amr bin Abu Amr dengan sanad ini, dari Nabi  seperti ini. 153;
906;Musnad Syafi'i 906;Abdul Aziz bin Muhammad Ad-Darawardi mengabarkan kepada kami dari Amr bin Abu Amr, dari seorang lelaki Bani Salamah, dari Jabir, dari Nabi  dengan redaksi hadis demikian. Asy-Syafi'i berkata,;"Ibnu Abu Yahya lebih ahfazh (hafal hadis) daripada Ad-Darawardi, dan Sulaiman sederajat dengan Ibnu Abu Yahya.""154"
907;Musnad Syafi'i 907;Malik mengabarkan kepada kami dari Nafi', dari Ibnu Umar  bahwa Nabi  bersabda,;"Janganlah seseorang di antara kalian melamar wanita yang telah dilamar oleh saudaranya.""155"
908;Musnad Syafi'i 908;Malik menceritakan kepada kami dari Abu Az-Zinad, dari Al A'raj, dari Abu Hurairah , dari Nabi  tentang hadis yang semisalnya. Sebagian dari kalangan ahli hadis ada yang menambahkan: Kecuali bila saudaranya mengizinkan atau meninggalkannya. 156;
909;Musnad Syafi'i 909;Malik menceritakan kepada kami dari Abdullah bin Yazid, bekas budak Al Aswad bin Sufyan, dari Abu Salamah bin Abdurrahman, dari Fatimah [binti Qais]: Rasulullah  pernah bersabda kepadanya saat menjalani idah dari pentalakkan suaminya,;"Apabila engkau telah menghabiskan masa iddahmu, maka beritahukanlah kepadaku."" Ia melanjutkan kisahnya: Ketika aku telah lepas dari iddahku, maka kuberitahukan kepadanya bahwa Muawiyah dan Abu Jahm telah melamarku. Lalu beliau bersabda, ""Muawiyah orang miskin, tidak berharta; sedangkan Abu Jahm tidak pernah meletakkan tongkat dari pundaknya. Nikahlah dengan Usamah bin Zaid."" Maka Fatimah binti Qais dikawinkan dengannya, kemudian Allah menjadikan kebaikan pada diri Usamah, dan ia hidup dengan penuh kebahagiaan.157"
910;Musnad Syafi'i 910;Ibrahim bin Sa'd bin Ibrahim bin Abdurrahman bin Auf mengabarkan kepada kami dari Ibnu Syihab, dari Salim, dari ayahnya bahwa Rasulullah  pernah bersabda,;"Apabila kalian melihat hilal, maka berpuasalah kalian; dan apabila kalian melihatnya, maka berbukalah kalian; dan bila awan menutupi kalian, maka perkirakanlah waktunya."" Tersebutlah bahwa Abdullah selalu puasa sehari sebelum hilal muncul, kemudian dikatakan kepada Ibrahim bin Sad, ""Apakah ia mendahuluinya."" Ia menjawab, ""Ya."" 158"
911;Musnad Syafi'i 911;Sufyan mengabarkan kepada kami dari Amr bin Dinar, dan Muhammad bin Jubair, dan Ibnu Abbas , ia mengatakan: Aku merasa heran terhadap orang yang berani mendahului bulan (Ramadhan dengan berpuasa), padahal Rasulullah  telah bersabda,;"Janganlah kalian berpuasa sebelum melihat hilal, jangan pula kalian berbuka (berhenti puasa) sebelum melihat hilal. ""159"
912;Musnad Syafi'i 912;Abdul Aziz bin Muhammad mengabarkan kepada kami dari Muhammad bin Amr, dari Abu Salamah, dari Abu Hurairah , bahwa Rasulullah  bersabda,;"Janganlah kalian mendahului bulan Ramadhan dengan berpuasa satu atau dua hari, kecuali jika hal tersebut bersesuaian dengan hari yang biasa seseorang dari kalian melakukan puasa padanya. Berpuasalah kalian karena melihatnya, dan berbukalah kalian karena melihatnya; dan jika awan menutupi kalian, maka sempurnakanlah hingga 30 —hari.""160"
913;Musnad Syafi'i 913;Amr bin Abu Salamah mengabarkan kepada kami dari Al Auza'i, Yahya bin Abu Katsir menceritakan kepadaku bahwa ia menerima berita dari Abu Salamah, dari Abu Hurairah , ia mengatakan: Rasulullah  pernah bersabda,;"Janganlah kalian mendahului bulan Ramadhan dengan berpuasa sehari atau dua hari; kecuali bagi seseorang yang biasa melakukan puasa sebelumnya, maka ia boleh berpuasa. ""161"
914;Musnad Syafi'i 914;Sufyan mengabarkan kepada kami dari Ibnu Syihab, dari Ibnu Al Musayyab atau Abu Salamah, dari Abu Hurairah, keraguan dari pihak Sufyan, bahwa Rasulullah  telah bersabda,;"Anak adalah bagi firasy (suami), sedangkan bagi pezina batu."".162"
915;Musnad Syafi'i 915;Sufyan bin Uyainah mengabarkan kepada kami dari Az- Zuhri, dari Urwah, dari Aisyah , bahwa Abdullah bin Zam'ah dan Sa'id bersengketa mengenai anak lelaki budak perempuan Zam'ah, keduanya mengadukan hal tersebut kepada Rasulullah . Sa'id berkata,;"Wahai Rasulullah, saudara lelakiku telah berwasiat kepadaku; Apabila aku tiba di Makkah, hendaklah aku menjenguk anak lelaki budak perempuan Zam'ah. Maka aku membawanya kepadamu, sesungguhnya ia adalah anakku."" Abd bin Zam'ah berkata, ""Saudara lelakiku dan anak lelaki budak perempuan ayahku dilahirkan di atas firasy ayahku."" Nabi  melihat anak tersebut lebih mirip Utbah dengan kemiripan yang jelas, lalu beliau bersabda, ""Dia adalah untukmu, hai Abd bin Zam'ah. Anak adalah bagi firasy, dan berhijablah kamu hai Saudah darinya (anak itu).""163"
916;Musnad Syafi'i 916;Malik mengabarkan kepada kami dari Nafi', dari Ibnu Umar: Bahwa Rasulullah  pernah memisahkan sepasang suami- istri yang saling ber-li'an, dan menisbatkan anak kepada istri. 164;
917;Musnad Syafi'i 917;Sufyan bin Uyainah mengabarkan kepada kami dari Abdullah bin Abu Yazdd, dari ayahnya, ia mengatakan: Umar bin Khaththab  pernah mengirim utusan memanggil seorang syaikh dari kalangan Bani Zuhrah yang dahulu tinggal di kampung kami, maka aku membawanya menghadap Umar. Lalu Umar bertanya kepadanya mengenai suatu kisah kelahiran di masa Jahiliyah, maka syaikh itu menjawab,;"Adapun firasy adalah milik si fulan, sedangkan nuthfah (air mani) adalah bagi si anu."" Umar berkata —yakni: Ibnu Al Khaththab— ""Engkau benar, tetapi Rasulullah  telah memutuskan bahwa anak itu milik firasy"" 165"
918;Musnad Syafi'i 918;Ibrahim bin Sa'd mengabarkan kepada kami dari Ibnu Syihab, dari Sahi bin Sa'd dan menyebutkan hadis tentang 2 orang yang saling berli'an, maka Nabi  bersabda,;"Perhatikanlah oleh kalian, apabila wanita ini melahirkan bayi yang berkulit hitam, bermata besar dan pantatnya besar, maka aku tidak memiliki persangkaan lain kecuali ia benar. Jika wanita ini melahirkan bayi berkulit merah seakan-akan mirip dengan waharah (pendek), maka aku tidak mempunyai persangkaan lain kecuali ia berdusta."" Ternyata si wanita melahirkan bayi seperti gambaran yang tidak disukai. 166"
919;Musnad Syafi'i 919;Ibrahim bin Sa'd mengabarkan kepada kami dari ayahnya, dari Sa'id bin Musayyab dan Ubaidullah bin Abdullah bahwa Nabi  telah bersabda,;"Jika ia melahirkan bayi dengan rambut berwarna pirang lagi lurus, maka anak itu hasil dari suaminya dan jika ia melahirkan bayi dengan rambut yang hitam lagi keriting, maka anak itu hasil dari orang yang dituduhnya."" Ternyata anak tersebut berambut hitam. 167"
920;Musnad Syafi'i 920;Sa'id bin Salim mengabarkan kepada kami dari Ibnu Abu Dzi'b, dari Makhlad bin Khufaf, dari Urwah, dari Aisyah : Bahwa Rasulullah  memutuskan bahwa hak mendapatkan hasil disebaban oleh keharusan menanggung kerugian. 168;
921;Musnad Syafi'i 921;Muslim bin Khalid mengabarkan kepada kami dari Hisyam, dari ayahnya, dari Aisyah  bahwa Rasulullah  pernah bersabda,;"Hak mendapatkan hasil disebaban oleh keharusan menanggung kerugian.""168"
922;Musnad Syafi'i 922;Malik mengabarkan kepada kami dari Abu Az-Zinad, dari Al A'raj, dari Abu Hurairah  bahwa Nabi  telah bersabda,;"Janganlah kalian tidak memeras susu unta dan kambing agar terlihat subur. Jika seseorang membelinya sesudah itu, maka si pembeli boleh memilih satu dari dua pilihan setelah memerahnya, yaitu: Jika ia suka, boleh tetap memegangnya; atau boleh mengembalikannya berikut satu sha' buah kurma."",.170"
923;Musnad Syafi'i 923;Sufyan mengabarkan kepada kami dari Ayub, dari Ibnu Sirin, dari Abu Hurairah RA, dari Nabi dengan redaksi semisalnya, hanya saja ia berkata,;"Ia boleh mengembalikannya berikut satu sha' tamar, bukan gandum"". 171"
924;Musnad Syafi'i 924;Malik mengabarkan kepada kami dari Nafi', dari Ibnu Umar  bahwa Rasulullah  pernah bersabda,;"Barangsiapa yang menjual makanan, janganlah ia menjualnya hingga sesuai dengan timbangan dan takaran.""172"
925;Musnad Syafi'i 925;Malik mengabarkan kepada kami dari Abdullah bin Dinar, dari Ibnu 'Umar radliyallahu 'anhuma bahwa Nabi shallallahu 'alaihi wa sallam pernah bersabda,;"Barangsiapa yang menjual makanan, janganlah ia menjualnya sebelum makanan ada di tangannya.""173"
926;Musnad Syafi'i 926;Sufyan mengabarkan kepada kami dari Amr bin Dinar, dari Thawus, dari Ibnu Abbas radliyallahu 'anhuma, ia mengatakan: Adapun hal yang dilarang oleh Rasulullah shallallahu 'alaihi wa sallam ialah menjual makanan sebelum ditimbang terlebih dahulu, dan berkata Ibnu Abbas menurut pendapatnya:;"Aku memandang segala sesuatu tidak lain kecuali seperti itu."""
927;Musnad Syafi'i 927;Sufyan mengabarkan kepada kami, dari Ibn Abi Najih, dari Abdillah bin Katsir, dari Abi Minhal, dari Ibn Abbas radliyallahu 'anhuma, dia berkata: Ketika Nabi shallallahu 'alaihi wa sallam tiba di Madinah, mereka (penduduk Madinah) mempraktekkan jual beli buah-buahan dengan sistim salaf, yaitu membayar dimuka dan diterima barangnya setelah kurun waktu dua atau tiga tahun kemudian, Maka Rasulullah shallallahu 'alaihi wa sallam bersabda:;"Siapa yang mempraktekkan salaf dalam jual beli buah-buahan hendaklah dilakukannya dengan takaran yang diketahui dan timbangan yang diketahui, serta waktu yang di ketahui atau sampai waktu yang di ketahui."""
928;Musnad Syafi'i 928;Orang yang dipercaya mengabarkan kepada kami dari Ayub, dari Yusuf bin Mahak, dari Hakim bin Hizam, ia mengatakan: Rasulullah shallallahu 'alaihi wa sallam melarangku menjual sesuatu yang tidak ada padaku. 176;
929;Musnad Syafi'i 929;Muslim mengabarkan kepada kami dari Ibnu Abu Husain, dari Atha' dan Thawus, menurut dugaanku ia mengatakan, dari Mujahid serta Al Hasan bahwa Rasulullah SAW pernah bersabda pada hari pembukaan kota Makkah,;"Orang mukmin tidak boleh dibunuh karena membunuh orang kafir."" 177"
930;Musnad Syafi'i 930;Sufyan mengabarkan kepada kami dari Mutharrif, dari Asy-Sya'bi, dari Abu Hujaifah*, ia mengatakan: Aku pernah bertanya kepada Ali ,;"Apakah di sisi kalian terdapat sesuatu dari Nabi selain dari Al Quran?"" Ali menjawab, ""Demi Tuhan yang menumbuhkan benih dan yang telah menciptakan manusia, tidak ada pemahaman yang diberikan oleh Allah kepada hamba-Nya selain dari apa yang ada di dalam Al Qur'an dan apa yang terdapat di dalam shahifah."" Aku bertanya, ""Apakah yang terdapat di dalam shahifah itu?"" Ali menjawab, ""Diyat, membebaskan tawanan, dan orang mukmin tidak boleh dihukum mati karena membunuh orang kafir."" 178"
931;Musnad Syafi'i 931;Sufyan mengabarkan kepada kami dari Az-Zuhri, dari Haram bin Sa'd bin Muhaishah: Bahwa Muhaishah pernah bertanya kepada Rasulullah  tentang usaha menjadi tukang bekam, maka beliau melarangnya, tetapi ia terus-menerus berbicara kepada beliau mengenai hal itu hingga beliau bersabda,;"Berikanlah hasilnya untuk makan budakmu dan makanan unta penyirammu.""179"
932;Musnad Syafi'i 932;Malik mengabarkan kepada kami dari Az-Zuhri, dari Haram bin Sa'd bin Muhaishah, dari ayahnya: Bahwa ia meminta izin kepada Nabi SAW untuk menyewakan alat bekam, tetapi beliau melarangnya. Maka ia terus-menerus meminta dan mendesak untuk diizinkan, hingga beliau bersabda, “Berikanlah hasilnya untuk makanan unta penyirammu dan budakmu.;180
933;Musnad Syafi'i 933;Malik mengabarkan kepada kami dari Humaid, dari Anas , ia mengatakan: Abu Thaibah pernah membekam Rasulullah , lalu beliau memerintahkan agar Abu Thaibah diberi upah satu sha' kurma dan memerintahkan keluarganya agar meringankan sebagian dari bebannya. 181;
934;Musnad Syafi'i 934;Abdul Wahab Ats-Tsaqafi mengabarkan kepada kami dari Humaid, dari Anas : Pernah ditanyakan kepadanya,;"Apakah Rasulullah pernah berhijamah?"" Ia menjawab, ""Ya, beliau pernah dibekam oleh Abu Thaibah, lalu beliau memberinya upah 2 sha' kurma dan memerintahkan para amilnya agar meringankan kharaj (pajak) Abu Thaibah, dan beliau bersabda, 'Sebaik-baik pengobatan bagi kalian ialah hijamah (berbekam), al qusthul bahri adalah obat untuk anak-anak kalian dari penyakit udzrah (penyakit tenggorokan), dan janganlah kalian menyiksa mereka dengan cara pengobatan ghamz (memasukan jari pada tenggorokan)""182"
935;Musnad Syafi'i 935;Abdul Wahab menceritakan kepada kami dari Ayub, dari Ibnu Sirin, dari Ibnu Abbas .183;
936;Musnad Syafi'i 936;Dan Sufyan mengabarkan kepada kami dari Ibrahim bin Maisarah, dari Thawus, mereka mengatakan: Rasulullah  pernah meminta dibekam, lalu beliau bersabda —kepada keluarganya— untuk tukang hijam,;"Berilah ia upah.""184"
937;Musnad Syafi'i 937;Muslim bin Khalid mengabarkan kepada kami Hari Ibnu Juraij, dari Ibnu Abu Mulaikah, dari Ibnu Abbas  bahwa Rasulullah  pernah bersabda,;"Bukti dibebankan atas si penuduh."" Aku menduganya mengatakan; Tetapi aku tidak yakin bahwa beliau  bersabda, ""Dan sumpah dibebankan atas orang yang tertuduh.""185"
938;Musnad Syafi'i 938;Abdul Wahab bin Abdul Majid Ats-Tsaqafi mengabarkan kepada kami dari Yahya bin Sa'id, dari Basyir bin Yasar, dari Sahi bin Abu Hatsmah: Bahwa Abdullah bin Sahi dan Muhaishah bin Mas'ud berangkat menuju Khaibar, lalu keduanya berpisah untuk keperluannya masing-masing. Tetapi Abdullah bin Sahi —ditemukan dalam keadaan— terbunuh. Maka berangkatlah Muhaishah dan Abdurrahman, saudara yang terbunuh serta Huwaishah bin Mas'ud kepada Rasulullah , lalu mereka menceritakan tentang terbunuhnya Abdullah bin Sahi. Lalu Rasulullah  bersabda,;"Maukah kalian bersumpah 50 kali, maka kalian berhak memperoleh diyat orang yang terbunuh dari kalian atau saudara kalian?"" Mereka menjawab, ""Wahai Rasulullah, kami tidak menyaksikan dan tidak hadir pada peristiwa tersebut."" Maka Rasulullah  bersabda, ""Kalau begitu orang-orang Yahudi akan bersumpah untuk membersihkan diri mereka terhadap kalian sebanyak 50 kali sumpah."" Mereka berkata, ""Wahai Rasulullah, bagaimanakah kami dapat menerima sumpah-sumpah kaum kafir?"" Perawi merasa yakin bahwa yang menanggung diyatnya adalah Nabi  dari hartanya sendiri. Basyir bin Yasar mengatakan bahwa Sahi berkata, ""Sesungguhnya salah seekor unta diyat itu ada yang menendangku di kandangnya."""
939;Musnad Syafi'i 939;Muslim dan Abdul Majid mengabarkan kepada kami dari Ibnu Juraij, dari Ibnu Thawus, dari ayahnya bahwa Abu Shahba' berkata kepada Ibnu Abbas,;"Sesungguhnya thalak tiga di masa Rasulullah  dianggap sebagai sekali thalak, begitu pula pada masa Abu Bakar; dan dianggap sebagai tiga kali thalak pada sebagian masa Umar."" Ibnu Abbas menjawab, ""Ya."" 187"
940;Musnad Syafi'i 940;Muslim bin Khalid dan Abdul Majid mengabarkan kepada kami dari Ibnu Juraij, dari Mujahid, ia mengatakan: Seorang lelaki berkata kepada Ibnu Abbas, “Aku telah menceraikan istriku seratus kali thalak.;"Ibnu Abbas menjawab, ""Ambillah olehmu tiga, dan tinggalkanlah yang sembilan puluh tujuhnya."" 188"
